"session_id","default_pay_mode","bind_card_x1","bytepay_ctr_x1","all_ctr_x1","budget_x1","bind_card_x0","bytepay_ctr_x0","all_ctr_x0","budget_x0"
"20240510174535752360az0b71c2d3e4","bp_top","0.004192388","0.6875933","0.74862814","0.061034840000000035","0.0","0.0","0.0","0.0"
"20240510165157756864za70by21xc23","bp_top","0.0119639","0.2901418","0.732599","0.4424572","0.0","0.0","0.0","0.0"
"20240510211531352375za70by12cx32","bp_top","2.4586916E-5","0.08289236","0.60342556","0.5205332","7.033348E-6","4.0340424E-4","0.64723164","0.64682823576"
"20240510230521907300az07y2xb13cw","bp_top","0.0048648403","0.5683221","0.92325914","0.3549370399999999","0.0010024561","0.15011282","0.94189066","0.79177784"
"20240510023229371553z7ya2x0b13c2","bp_top","0.070963405","0.62308896","0.8468986","0.22380963999999992","0.009242212","0.051975023","0.8558632","0.803888177"
"20240510122458653979a0b1z7cy2d3e","bp_top","2.9570863E-4","0.037270464","0.39388034","0.356609876","2.1762656E-4","0.019019663","0.40177128","0.382751617"
"20240510135258626649z7ya20x3b1c2","bp_top","0.00287655","0.35550338","0.732334","0.37683062000000006","0.001699349","0.12996815","0.77168405","0.6417158999999999"
"20240510084058302779z7a0by12x3w8","bp_top","0.00540486","0.06202537","0.81877863","0.75675326","0.0011569858","0.011484444","0.8671899","0.8557054559999999"
"20240510174133809283az7y02bx1c23","bp_top","2.8210878E-4","0.025210708","0.7944186","0.769207892","1.1829998E-4","0.0069105825","0.8513333","0.8444227175"
"20240510205811620815za70by12c2x3","bp_top","0.06417617","0.24901044","0.53813404","0.2891236","0.025996387","0.070647955","0.5499739","0.47932594500000003"
"20240510134217707452za0b1c27yd32","bp_top","4.351139E-6","0.8822309","0.8727864","-0.009444500000000078","3.0590223E-7","0.0038993591","0.8681317","0.8642323408999999"
"20240510135428268098az7y2x03wb81","bp_top","0.0015513003","0.12647888","0.9060379","0.77955902","7.790327E-4","0.047905177","0.9094655","0.8615603230000001"
"20240510070018641195za07b1y2xc23","bp_top","0.013322897","0.39073938","0.4884995","0.09776011999999995","0.003404694","0.042584945","0.5279697","0.485384755"
"20240510064521971152z7ay2x30bw81","bp_top","0.0012291074","0.050949663","0.53747463","0.486524967","4.1356683E-4","0.0068459213","0.57921505","0.5723691287"
"20240510205907512184a0bz1c2d3e4f","bp_top","0.003598099","0.07858957","0.12675184","0.04816227000000001","7.710735E-4","0.0067196246","0.13460071","0.1278810854"
"20240510131137420348az07y2xb3w1c","bp_top","0.0034155846","0.015687466","0.8464998","0.830812334","0.0020375166","0.003937159","0.83825374","0.834316581"
"20240510224315700103za7y20bx1c32","bp_top","0.1866365","0.3397995","0.48744202","0.14764252","0.123141766","0.2310483","0.49151823","0.26046992999999996"
"2024051019305281042a0b1zc2d7y32","bp_top","0.004341781","0.49201307","0.6986965","0.20668343000000006","4.912019E-4","0.050426424","0.77778125","0.727354826"
"2024051008342696133za07y2x3wb81","bp_top","0.0019297302","0.17331922","0.4963299","0.32301068","3.5625696E-4","0.045082748","0.52063656","0.475553812"
"20240510102652266621za0b1c72y2dx","bp_top","3.247261E-4","0.13146415","0.1732825","0.041818350000000004","1.1661649E-4","0.017963737","0.16281307","0.144849333"
"20240510122943414688a0zb1c2d37y2","bp_top","4.0334463E-4","0.07460189","0.20472044","0.13011855","4.1258335E-4","0.029674739","0.24409318","0.214418441"
"2024051017144513926a0zb1c7y2x3w","bp_top","1.1405349E-4","0.025146306","0.51525277","0.490106464","9.11057E-5","0.007864535","0.5791538","0.5712892650000001"
"20240510094108818495a0bz71yc2d2x","bp_top","0.0029458404","0.18467993","0.49979174","0.31511181","4.7963858E-4","0.06447321","0.59727","0.5327967899999999"
"20240510172645241738az0b1c2d3e7y","bp_top","0.0017659543","0.0550463","0.38007143","0.32502513","2.9092177E-4","0.0030474411","0.44018373","0.4371362889"
"20240510224618177252az07b1cy2x32","bp_top","0.001399597","0.13595153","0.62044936","0.48449782999999996","0.0","0.0","0.0","0.0"
"20240510144720594506az0b7y12x3w8","bp_top","2.3886561E-4","0.0030330122","0.004974574","0.0019415618","8.7291E-5","2.1198392E-4","0.004910618","0.004698634080000001"
"20240510143517363848a0zb1c72d3e4","bp_top","0.015287042","0.53694576","0.63208157","0.09513580999999993","0.0024311244","0.040307373","0.62477905","0.584471677"
"20240510200448298323z7ay20xb3w81","bp_top","1.2901425E-4","0.059804678","0.75417805","0.694373372","4.0769577E-5","0.0038870275","0.7964529","0.7925658725"
"20240510204915185113a0zb7y12x3w8","bp_top","0.0057769865","0.39112154","0.5704768","0.17935526000000002","0.0013491284","0.0730952","0.5791465","0.5060513"
"20240510142548998643az7y20b1x3c2","bp_top","1.6823411E-4","0.022185206","0.28783688","0.265651674","6.0349703E-5","0.0014411211","0.3120974","0.3106562789"
"2024051007314237781z7a0y2b1c2dx","bp_top","0.0010029972","0.21939331","0.70031345","0.48092014","5.0374866E-4","0.0687536","0.7471683","0.6784147"
"20240510192124877940az70by21c2dx","bp_top","1.4233589E-4","0.041424662","0.48221648","0.440791818","5.4985285E-5","0.0046009123","0.5072881","0.5026871877"
"20240510194549390161z7ay2x03bw18","bp_top","0.0011051893","0.46244374","0.82127494","0.3588312","9.152293E-4","0.090231866","0.8614096","0.771177734"
"20240510203949842565a0b1zc2d7y2x","bp_top","0.0011434555","0.36489046","0.37955752","0.014667059999999954","5.582684E-4","0.09620292","0.35139227","0.25518935"
"20240510154536248473z7ya0b12cx3w","bp_top","2.6017427E-5","0.018581808","0.02409044","0.005508632000000003","3.0875206E-5","0.0016134381","0.022242248","0.0206288099"
"20240510170818893040az0b1c2d7y23","bp_top","0.004074001","0.09038336","0.78962463","0.69924127","0.0024908397","0.06608579","0.78318155","0.71709576"
"20240510140511890457z7a0yb1c22xd","bp_top","2.6563293E-4","0.0055348915","0.005685115","1.5022350000000028E-4","1.3288105E-4","0.0014190793","0.004369714","0.0029506347000000004"
"20240510205000946419a0bz7y21x3c2","bp_top","0.003759219","0.39430192","0.4423413","0.04803938000000002","0.0036724026","0.1303294","0.45945922","0.32912982"
"20240510214105217245a0z7yb2x1c3w","bp_top","2.0980835E-5","0.074552596","0.9705491","0.8959965040000001","2.5331974E-6","3.5375357E-4","0.97276425","0.97241049643"
"20240510003621947983az70by1c22x3","bp_top","0.014050205","0.3105504","0.52550673","0.21495633000000003","0.0102938665","0.2889078","0.5401463","0.2512385"
"20240510052610270932a0z7y2b1x3c2","bp_top","0.023122458","0.07185276","0.6774871","0.60563434","0.013684514","0.035283163","0.6703917","0.635108537"
"20240510110657578739a0zb7y12c2dx","bp_top","0.0055576437","0.1378452","0.80025214","0.66240694","0.002233002","0.012691948","0.82352567","0.810833722"
"20240510132313576000a0zb17y2x3w8","bp_top","4.8804283E-4","0.017365843","0.6257688","0.608402957","1.9648671E-4","0.0031086504","0.6351342","0.6320255496"
"20240510215600589259az7y20xb1c32","bp_top","9.146333E-4","0.07834619","0.91932464","0.84097845","4.825294E-4","0.037713617","0.94499683","0.907283213"
"20240510224951921103az7y20xb3w18","bp_top","0.050718676","0.5435662","0.6433016","0.09973540000000003","0.03496203","0.27508885","0.51657534","0.24148649000000005"
"20240510175243760510z7ay20xb31cw","bp_top","5.7474786E-4","0.056102265","0.30839774","0.252295475","9.2809896E-5","0.0041572643","0.33130357","0.3271463057"
"20240510161735112881za07y2bx13wc","bp_top","0.09628874","0.18549451","0.7033986","0.51790409","0.035474125","0.063479625","0.7161902","0.652710575"
"20240510092507581489a0b1c2dz73e4","bp_top","0.0012873086","0.23803228","0.9099544","0.6719221200000001","5.4610806E-4","0.07409585","0.92946947","0.8553736200000001"
