0,0,12
0,1,10
0,2,19
0,3,5
0,4,1
0,5,9
0,6,8
0,7,12
0,8,18
0,9,4
1,0,20
1,1,11
1,2,10
1,3,16
1,4,13
1,5,12
1,6,9
1,7,3
1,8,20
1,9,2
2,0,20
2,1,4
2,2,8
2,3,19
2,4,11
2,5,19
2,6,3
2,7,1
2,8,3
2,9,13
3,0,16
3,1,9
3,2,17
3,3,8
3,4,17
3,5,15
3,6,14
3,7,4
3,8,11
3,9,9
4,0,6
4,1,6
4,2,4
4,3,4
4,4,6
4,5,8
4,6,13
4,7,15
4,8,16
4,9,5
5,0,6
5,1,16
5,2,16
5,3,5
5,4,13
5,5,14
5,6,2
5,7,4
5,8,2
5,9,5
6,0,3
6,1,4
6,2,1
6,3,16
6,4,6
6,5,20
6,6,2
6,7,5
6,8,18
6,9,6
7,0,19
7,1,13
7,2,20
7,3,13
7,4,4
7,5,11
7,6,2
7,7,3
7,8,4
7,9,4
8,0,2
8,1,6
8,2,20
8,3,12
8,4,14
8,5,8
8,6,3
8,7,6
8,8,15
8,9,3
9,0,4
9,1,2
9,2,6
9,3,6
9,4,18
9,5,6
9,6,1
9,7,10
9,8,4
9,9,5
10,0,6
10,1,11
10,2,17
10,3,10
10,4,5
10,5,10
10,6,18
10,7,17
10,8,2
10,9,6
11,0,20
11,1,5
11,2,5
11,3,16
11,4,13
11,5,1
11,6,16
11,7,16
11,8,20
11,9,1
12,0,20
12,1,4
12,2,5
12,3,20
12,4,16
12,5,3
12,6,17
12,7,3
12,8,1
12,9,10
13,0,11
13,1,5
13,2,12
13,3,12
13,4,18
13,5,19
13,6,12
13,7,16
13,8,6
13,9,12
14,0,5
14,1,15
14,2,18
14,3,9
14,4,13
14,5,18
14,6,13
14,7,13
14,8,10
14,9,16
15,0,12
15,1,12
15,2,17
15,3,17
15,4,20
15,5,19
15,6,9
15,7,1
15,8,15
15,9,10
16,0,9
16,1,19
16,2,4
16,3,12
16,4,3
16,5,3
16,6,3
16,7,1
16,8,9
16,9,20
17,0,18
17,1,15
17,2,9
17,3,15
17,4,16
17,5,16
17,6,20
17,7,16
17,8,13
17,9,9
18,0,13
18,1,1
18,2,13
18,3,7
18,4,19
18,5,17
18,6,19
18,7,18
18,8,12
