1,3,2.55,2.7
1.2,3,2.55,2.7
1.2,4,3.4,3.6
1.5,4.5,3.825,4.05
1.6,4.3,3.655,3.87
6.5,12,10.2,10.8
3.6,7.1,6.035,6.39
2.5,9,7.65,8.1
5.7,14,11.9,12.6
6,11,9.35,9.9
9,17,14.45,15.3
8.9,17,14.45,15.3
7.1,15,12.75,13.5
7,14,11.9,12.6
2.5,4,3.4,3.6
0.8,2,1.7,1.8
0.5,2,1.7,1.8
3.4,7,5.95,6.3
3.6,9,7.65,8.1
5.6,12,10.2,10.8
6.7,15,12.75,13.5
6.9,15,12.75,13.5
7.1,14,11.9,12.6
7.5,17,14.45,15.3
7.8,16,13.6,14.4
8.1,15,12.75,13.5
8.3,15,12.75,13.5
8.5,15,12.75,13.5
8.7,16,13.6,14.4
8.7,17,14.45,15.3
8.8,18,15.3,16.2
8.8,20,17,18
8,16,13.6,14.4
9,19,16.15,17.1
9.2,18,15.3,16.2
10.1,20,17,18
1.1,3.2,2.72,2.88
1.6,4.2,3.57,3.78
4,9,7.65,8.1
12,25,21.25,22.5
9.5,20,17,18
