i,j,profit,k,budget
2,0,0.037340,0,0.298393
2,1,0.006128,0,0.461332
2,2,0.000655,0,0.000430
2,3,0.026811,0,0.205917
2,4,0.017778,0,0.291730
2,5,0.021338,0,0.598254
2,6,0.020569,0,0.189253
2,7,0.033933,0,0.289352
2,8,0.029394,0,0.078796
2,9,0.014684,0,0.033325
2,10,0.056334,0,0.129388
2,11,0.057949,0,0.169562
2,12,0.034254,0,0.301595
2,13,0.017011,0,0.250091
2,14,0.020033,0,0.261664
2,15,0.014815,0,0.108447
2,16,0.026663,0,0.501256
2,17,0.041214,0,0.457261
2,18,0.004910,0,0.015746
2,19,0.048273,0,0.303327
2,20,0.008998,0,0.157946
