i,j,profit,k,budget
3,0,0.000290,0,0.245542
3,1,0.000642,0,0.180838
3,2,0.000141,0,0.065462
3,3,0.000273,0,0.355381
3,4,0.000776,0,0.127306
3,5,0.000101,0,0.061729
3,6,0.000293,0,0.040961
3,7,0.000522,0,0.148029
3,8,0.000278,0,0.146510
3,9,0.000191,0,0.114645
3,10,0.000276,0,0.072064
3,11,0.000424,0,0.034804
3,12,0.000140,0,0.004449
3,13,0.000775,0,0.272854
3,14,0.000342,0,0.386380
3,15,0.000147,0,0.008928
3,16,0.000194,0,0.112489
3,17,0.000033,0,0.001458
3,18,0.000512,0,0.215861
3,19,0.000132,0,0.030483
